url,prix_tnd,nom,marque,ram_go,stockage_go,cpu_serie,os_platform,has_5g,has_wifi
https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-ideacentre-aio-24irh9-i7-13e-gen-8go-512go-ssd.html,3499.0,PC de Bureau ALL IN ONE LENOVO IdeaCentre AIO 24IRH9 i7 13è Gén 8Go 512Go SSD,LENOVO,8.0,512.0,7.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-thinkcentre-neo-50a-27-gen5-i7-13e-gen-8g-512g-ssd.html,3649.0,PC de Bureau ALL IN ONE LENOVO ThinkCentre neo 50a 27 Gen5 i7 13è Gén 8G 512G SSD,LENOVO,8.0,512.0,7.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50t-gen-5-i7-14e-gen-32go-512go-ssd.html,3719.0,PC de Bureau LENOVO ThinkCentre néo 50t Gen 5 i7 14è Gén 32Go 512Go SSD,LENOVO,32.0,512.0,7.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-rtx-3050-6g.html,1999.0,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go RTX 3050 6G,MSI,16.0,500.0,0.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16g-rtx3050-6g.html,2339.0,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G RTX3050 6G,MSI,16.0,500.0,0.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-32go-rtx-3050-6g.html,2399.0,Pc de Bureau Gamer MYTEK AMD RYZEN 5 32Go RTX 3050 6G,MSI,32.0,500.0,0.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16g-rtx5060-8g.html,2559.0,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G RTX5060 8G,MSI,16.0,500.0,0.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-12e-gen-16g-rtx-5050-8g.html,2659.0,Pc de Bureau Gamer MYTEK i5 12è Gén 16G RTX 5050 8G,MSI,16.0,500.0,5.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-i3-12e-gen-16go-rtx-5060-8g.html,2699.0,Pc de Bureau Gamer MYTEK i3 12è Gén 16Go RTX 5060 8G,MSI,16.0,500.0,3.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-32g-rtx3050-6g.html,2719.0,Pc de Bureau Gamer MYTEK AMD RYZEN 5 32Go RTX3050 6G,MSI,32.0,500.0,0.0,FreeDos,0,0
https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16g-rtx-5050-8g.html,2849.0,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16G RTX 5050 8G,MSI,16.0,1024.0,0.0,FreeDos,0,0
